ID 	 SPEED
------	-------
0 	 45
1 	 55
3 	 46
4 	 87<---exceeded
5 	 65
7 	 56
12 	 38
11 	 31
13 	 38
14 	 75
15 	 71
23 	 60
24 	 72
34 	 73
37 	 52
39 	 42
43 	 59
53 	 49
55 	 50
56 	 53
57 	 76
59 	 64
65 	 145<---exceeded
66 	 84<---exceeded
69 	 127<---exceeded
71 	 127<---exceeded
94 	 59
98 	 65
99 	 92<---exceeded
100 	 72
101 	 84<---exceeded
104 	 77
107 	 210<---exceeded
105 	 101<---exceeded
113 	 55
120 	 60
124 	 77
128 	 65
140 	 62
144 	 73
148 	 60
152 	 65
154 	 75
155 	 77
164 	 74
165 	 74
166 	 74
167 	 74
170 	 73
175 	 74
176 	 84<---exceeded
179 	 50
181 	 155<---exceeded
180 	 155<---exceeded
185 	 41
186 	 52
191 	 47
192 	 63
193 	 86<---exceeded
194 	 89<---exceeded
198 	 46
199 	 67
